"","code_muni","abbrev_state"
"1015",5106505,"MT"
"1016",3131307,"MG"
"1017",2501807,"PB"
"1018",2806107,"SE"
"1019",2409407,"RN"
"1020",2203909,"PI"
"1021",2512309,"PB"
"1022",2101509,"MA"
"1023",2111201,"MA"
"1024",2109106,"MA"
"1025",1505437,"PA"
"1026",3305604,"RJ"
"1027",3305901,"RJ"
"1028",1500909,"PA"
"1029",1505106,"PA"
"1030",3116605,"MG"
"1031",4105706,"PR"
"1032",4219507,"SC"
"1033",4316808,"RS"
"1034",3534609,"SP"
"1035",5218607,"GO"
"1036",3305109,"RJ"
"1037",3137205,"MG"
"1038",5103205,"MT"
"1039",3505906,"SP"
"1040",1505809,"PA"
"1041",2611002,"PE"
"1042",2101400,"MA"
"1043",2511202,"PB"
"1044",1507953,"PA"
"1045",3151503,"MG"
"1046",3502705,"SP"
"1047",3556701,"SP"
"1048",2610608,"PE"
"1049",3527108,"SP"
"1050",2516607,"PB"
"1051",3138807,"MG"
"1052",4211702,"SC"
"1053",3129806,"MG"
"1054",2402709,"RN"
"1055",5201702,"GO"
"1056",5002159,"MS"
"1057",2607505,"PE"
"1058",4318101,"RS"
"1059",3202207,"ES"
"1060",5200258,"GO"
"1061",2112209,"MA"
"1062",2201903,"PI"
"1063",3540606,"SP"
"1064",2306553,"CE"
"1065",2311801,"CE"
"1066",3530706,"SP"
"1067",4208500,"SC"
"1068",3519071,"SP"
"1069",1505502,"PA"
"1070",2503704,"PB"
"1071",1502103,"PA"
"1072",2202000,"PI"
"1073",4202909,"SC"
"1074",3526407,"SP"
"1075",2610202,"PE"
"1076",4215505,"SC"
"1077",4217907,"SC"
"1078",4303905,"RS"
"1079",4317400,"RS"
"1080",4309209,"RS"
"1081",4322608,"RS"
"1082",3550803,"SP"
"1083",2613602,"PE"
"1084",3305802,"RJ"
"1085",1720101,"TO"
"1086",4103701,"PR"
"1087",2205953,"PI"
"1088",2201408,"PI"
"1089",4317301,"RS"
"1090",2600401,"PE"
"1091",3302858,"RJ"
"1092",3545209,"SP"
"1093",3513801,"SP"
"1094",2103307,"MA"
"1095",4124608,"PR"
"1096",4308458,"RS"
"1097",2303600,"CE"
"1098",3302403,"RJ"
"1099",2400307,"RN"
"1100",3137908,"MG"
"1101",2412500,"RN"
"1102",2501906,"PB"
"1103",3168507,"MG"
"1104",1709500,"TO"
"1105",2307254,"CE"
"1106",4125605,"PR"
"1107",4321600,"RS"
"1108",3303401,"RJ"
"1109",3113909,"MG"
"1110",2405801,"RN"
"1111",4120408,"PR"
"1112",3170404,"MG"
"1113",2607901,"PE"
"1114",3204104,"ES"
"1115",3157807,"MG"
"1116",2102101,"MA"
"1117",2111607,"MA"
"1118",4304606,"RS"
"1119",3524204,"SP"
"1120",4212007,"SC"
"1121",4216701,"SC"
"1122",4212106,"SC"
"1123",3160702,"MG"
"1124",3128709,"MG"
"1125",2600054,"PE"
"1126",2606804,"PE"
"1127",1500602,"PA"
"1128",4201950,"SC"
"1129",4207908,"SC"
"1130",5102504,"MT"
"1131",3539509,"SP"
"1132",2606309,"PE"
"1133",3545308,"SP"
"1134",3110608,"MG"
"1135",5218904,"GO"
"1136",5218300,"GO"
"1137",3521309,"SP"
"1138",3522604,"SP"
"1139",4311007,"RS"
"1140",2603009,"PE"
"1141",3554409,"SP"
"1142",2607208,"PE"
"1143",4127965,"PR"
"1144",2108603,"MA"
"1145",5004700,"MS"
"1146",3167202,"MG"
