"","Code","Municipality.x","population_tcu.","hot","cold"
"308","170100","ANANAS",9435,0,0
"309","170105","ANGICO",3475,0,0
"310","170110","APARECIDA DO RIO NEGRO",4901,0,1
"311","170190","ARAGUACEMA",7223,0,0
"312","170200","ARAGUACU",8418,0,0
"313","170210","ARAGUAINA",186245,0,0
"314","170215","ARAGUANA",5856,0,0
"315","170220","ARAGUATINS",36573,0,0
"316","170230","ARAPOEMA",6590,0,0
"317","170240","ARRAIAS",10502,0,0
"318","170255","AUGUSTINOPOLIS",18870,0,0
"319","170270","AURORA DO TOCANTINS",3809,0,0
"320","170290","AXIXA DO TOCANTINS",9817,0,0
"321","170300","BABACULANDIA",10668,0,0
"322","170307","BARRA DO OURO",4673,0,0
"323","170310","BARROLANDIA",5669,0,0
"324","170320","BERNARDO SAYAO",4439,0,0
"325","170360","BRASILANDIA DO TOCANTINS",2221,0,0
"326","170370","BREJINHO DE NAZARE",5540,0,0
"327","170380","BURITI DO TOCANTINS",11644,0,0
"328","170382","CACHOEIRINHA",2293,0,0
"329","170384","CAMPOS LINDOS",10505,0,0
"330","170386","CARIRI DO TOCANTINS",4499,0,0
"331","170389","CARRASCO BONITO",4165,0,0
"332","170390","CASEARA",5514,0,0
"333","170410","CENTENARIO",2966,0,0
"334","170550","COLINAS DO TOCANTINS",36271,0,0
"335","170555","COMBINADO",4870,0,0
"336","170560","CONCEICAO DO TOCANTINS",4070,0,0
"337","170600","COUTO MAGALHAES",5690,0,0
"338","170610","CRISTALANDIA",7268,0,0
"339","170625","CRIXAS DO TOCANTINS",1749,0,0
"340","170650","DARCINOPOLIS",6250,0,0
"341","170700","DIANOPOLIS",22704,0,0
"342","170710","DIVINOPOLIS DO TOCANTINS",6986,0,0
"343","170730","DUERE",4686,0,0
"344","170740","ESPERANTINA",11280,0,0
"345","170755","FATIMA",3824,0,0
"346","170765","FIGUEIROPOLIS",5222,0,0
"347","170770","FILADELFIA",8892,0,0
"348","170820","FORMOSO DO ARAGUAIA",18358,0,0
"349","170825","FORTALEZA DO TABOCAO",2615,0,0
"350","170830","GOIANORTE",5136,0,1
"351","170900","GOIATINS",13169,0,0
"352","170930","GUARAI",26403,0,0
"353","170950","GURUPI",88428,0,0
"354","170980","IPUEIRAS",2088,0,0
"355","171050","ITACAJA",7471,0,0
"356","171070","ITAGUATINS",5801,0,0
